keys,zh,en
BUFF_PIERCING_DESC,"子弹可穿透 1 个敌人（最多 2 层）","Bullets pierce 1 enemy (max 2)"
BUFF_EXPLOSIVE_NAME,"爆炸弹","Explosive"
BUFF_EXPLOSIVE_DESC,"命中产生 50px 爆炸（固定 30 点溅射伤害）","Hits explode in 50px (30 splash dmg)"
BUFF_LIFESTEAL_NAME,"吸血","Lifesteal"
BUFF_LIFESTEAL_DESC,"击毁敌人回复 10% 最大生命","Kills restore 10% max HP"
BUFF_ARMOR_NAME,"护甲","Armor"
BUFF_ARMOR_DESC,"受到的伤害 ×85%","Damage taken ×85%"
BUFF_EVASION_NAME,"闪避","Evasion"
BUFF_EVASION_DESC,"20% 概率完全闪避","20% chance to fully dodge"
BUFF_PHASE_DASH_NAME,"相位冲刺","Phase Dash"
BUFF_PHASE_DASH_DESC,"解锁空格冲刺（再选冷却 -20%，最多 2 次）","Unlock Space dash (recast: -20% CD, max 2)"
BUFF_SLOW_FIELD_NAME,"慢速力场","Slow Field"
BUFF_SLOW_FIELD_DESC,"敌机与 Boss 移速 -20%","Enemies & Bosses -20% speed"
BUFF_EFFICIENT_BOOST_NAME,"高效推进","Efficient Boost"
BUFF_EFFICIENT_BOOST_DESC,"燃料消耗 -25%（可叠 2 层，乘算）","Fuel drain -25% (max 2)"
BUFF_LASER_BEAM_NAME,"激光光束","Laser Beam"
BUFF_LASER_BEAM_DESC,"周期性发射穿透激光","Periodic piercing laser"
BUFF_MOTHERSHIP_RECALL_NAME,"母舰召回","Recall"
BUFF_MOTHERSHIP_RECALL_DESC,"母舰冷却 -50%（可叠 2 层，乘算）","Mothership CD -50% (max 2)"
BUFF_BOOST_RECOVERY_NAME,"快速充能","Boost Recovery"
BUFF_BOOST_RECOVERY_DESC,"燃料恢复 ×1.5（可叠 2 层，乘算）","Fuel regen ×1.5 (max 2)"
BUFF_NEW_BADGE,"NEW!","NEW!"
BUFF_KIND_OFFENSE,"进攻路线","Offense Path"
BUFF_KIND_MANEUVER,"机动路线","Maneuver Path"
BUFF_KIND_GENERAL,"通用","General"
BASE_TITLE,"基地整备","Base Prep"
BASE_RP,"RP 余额：%d","RP: %d"
BASE_HANGAR,"战机库","Hangar"
BASE_SUPPLY,"维修补给","Supply"
BASE_ROUTES,"武器挂载 · 天赋路线","Weapon Routes"
BASE_MISSIONS,"任务规划","Missions"
BASE_STATUS_FMT,"生命：%d   燃料：%d%%
Buff：%s","Lives: %d   Fuel: %d%%
Buffs: %s"
BASE_NO_BUFF,"（无）","(none)"
BASE_REPAIR,"维修（2 RP）：生命回满","Repair (2 RP): Full HP"
BASE_RECHARGE,"充能（2 RP）：燃料充满","Recharge (2 RP): Full Fuel"
BASE_ROUTE_HINT,"每线二选一，被锁定的 buff 不再出现在奖励池","Pick one per line; locked buff leaves the pool"
BASE_CHOSEN_FMT,"✓ %s Lv.%d","✓ %s Lv.%d"
BASE_LOCKED_FMT,"%s（已锁定）","%s (locked)"
BASE_LINE_FMT,"%s（共 %d 层）","%s (%d stacks)"
BASE_CLAIM,"领取 +3RP","Claim +3RP"
BASE_CLAIMED," 已领取"," Claimed"
BASE_DONE," 已完成"," Done"
BASE_RESUME,"继续出击","Launch"
ROUTE_OFFENSE,"进攻线","Offense"
ROUTE_MOBILITY,"机动线","Mobility"
MISSION_KILL_5_NAME,"战场清扫","Cleanup"
MISSION_KILL_5_DESC,"击杀 5 个敌人","Kill 5 enemies"
MISSION_SURVIVE_180_NAME,"战场生存","Survivor"
MISSION_SURVIVE_180_DESC,"存活 180 秒","Survive 180s"
MISSION_BOSS_1_NAME,"主宰之战","Boss Hunt"
MISSION_BOSS_1_DESC,"击杀 1 个 Boss","Kill 1 Boss"
GO_TITLE,"游戏结束","Game Over"
GO_BEST,"最高分：%d","Best: %d"
GO_KILLS,"击杀：%d","Kills: %d"
GO_BOSS_KILLS,"Boss 击杀：%d","Boss Kills: %d"
GO_RECORD,"新纪录！","New Record!"
GO_RANK,"本局排名 #%d","Run Rank #%d"
GO_BOARD,"历史最佳 Top 5","All-time Top 5"
START_BOARD,"历史最佳","All-time best"
GO_RESTART,"按 R 重新开始 · Esc 返回主界面","R Restart · Esc Main Menu"
SET_JOY,"手柄","Controller"
SET_JOY_AIM_SPEED,"右摇杆瞄准灵敏度","Aim stick sensitivity"
SET_JOY_DEADZONE,"摇杆死区","Stick deadzone"
SET_JOY_DESC,"仅手柄模式生效：右摇杆驱动瞄准（松开即停）；死区为摇杆被忽略的行程","Controller only: right stick aims (released = stop); deadzone is the ignored stick travel"
SET_JOY_LAYOUT_XBOX,"手柄布局：Xbox（A/B/X/Y · LB/RB）","Layout: Xbox (A/B/X/Y · LB/RB)"
SET_JOY_LAYOUT_PS,"手柄布局：PlayStation（✕/○/□/△ · L1/R1）","Layout: PlayStation (✕/○/□/△ · L1/R1)"
PAUSE_TITLE,"已暂停","Paused"
PAUSE_RESUME,"继续","Resume"
PAUSE_SAVE,"保存进度","Save Game"
PAUSE_SAVED,"已保存 ✓","Saved ✓"
PAUSE_HINT,"Esc 继续 · R 重新开始","Esc Resume · R Restart"
PAUSE_SETTINGS,"设置","Settings"
PAUSE_QUIT,"退出游戏","Quit Game"
EXIT_TITLE,"退出游戏","Quit Game"
EXIT_MSG,"确认退出 InfiAir？","Quit InfiAir?"
EXIT_BATTLE_MSG,"战斗进行中：退出将丢失本局进度！","Battle in progress: quitting forfeits this run!"
EXIT_OK,"确认退出","Quit"
EXIT_CANCEL,"取消","Cancel"
START_CONTINUE,"继续对局","Continue"
START_NEW,"新游戏","New Game"
START_BEGIN,"开始游戏","Start Game"
START_TUTORIAL,"教程","Tutorial"
START_SETTINGS,"设置","Settings"
START_DIFFICULTY,"难度","Difficulty"
START_SAVE_CORRUPT,"检测到损坏的对局存档，已自动备份，请开始新对局","Corrupted save backed up. Please start a new run."
START_PROFILE_CORRUPT,"检测到损坏的设置档案，已备份并恢复默认设置","Corrupted settings backed up. Defaults restored."
START_ESC_HINT,"Esc 退出","Esc Quit"
WELCOME_HIGH_SCORE,"最高分 %d","High Score %d"
SET_TITLE,"设置","Settings"
SET_CONTROLS,"控制","Controls"
SET_MODES,"操作模式","Modes"
SET_ABOUT,"关于","About"
SET_REBIND,"改键","Rebind"
SET_RESET,"恢复默认按键","Reset Defaults"
SET_BACK,"返回","Back"
SET_CAPTURE,"按任意键绑定到「%s」…（Esc 取消）","Press any key for ""%s""… (Esc to cancel)"
SET_CANCELLED,"已取消","Cancelled"
SET_BOUND,"「%s」已绑定为 %s","""%s"" bound to %s"
SET_RESET_DONE,"已恢复默认按键","Defaults restored"
SET_UNBOUND,"（未绑定）","(unbound)"
SET_CTRL_MODE,"Ctrl 微调模式","Ctrl Fine-move"
SET_SHIFT_MODE,"Shift 加速模式","Shift Boost"
SET_HOLD,"按住","Hold"
SET_TOGGLE,"切换","Toggle"
SET_CHEATSHEET,"操作速查：
WASD/方向键 移动 · 鼠标 瞄准（自动开火）
Shift 加速 · Ctrl 微调 · 空格 相位冲刺
长按 H 召唤母舰 · 长按 B 返航 · 长按 K 放弃
Esc 暂停 · R 重开（固定不可改）","Controls:
WASD/Arrows Move · Mouse Aim (auto-fire)
Shift Boost · Ctrl Fine · Space Dash
Hold H Mothership · Hold B Home · Hold K Abandon
Esc Pause · R Restart (fixed)"
SET_VERSION,"InfiAir · Godot %s · GL Compatibility","InfiAir · Godot %s · GL Compatibility"
SET_LANGUAGE,"语言","Language"
SET_AIM_ASSIST,"辅助瞄准","Aim Assist"
SET_AIM_LOW,"弱","Low"
SET_AIM_MEDIUM,"中","Medium"
SET_AIM_HIGH,"强","High"
SET_AIM_ASSIST_DESC,"准星移入敌机辅助框内，出膛弹即追踪该目标；档位调节框大小与追踪速度","Place the crosshair inside an enemy's aim frame to make shots home in on it; level adjusts frame size and homing speed"
SET_DISPLAY,"显示","Display"
ACT_MOVE_UP,"上移","Up"
ACT_MOVE_DOWN,"下移","Down"
ACT_MOVE_LEFT,"左移","Left"
ACT_MOVE_RIGHT,"右移","Right"
ACT_BOOST,"加速","Boost"
ACT_FINE_MOVE,"微调","Fine-move"
ACT_DASH,"相位冲刺","Phase Dash"
ACT_DOCK,"召唤母舰","Mothership"
ACT_HOMECOMING,"返航","Homecoming"
ACT_GIVE_UP,"放弃出击","Abandon"
ACT_BUFF_PANEL,"增益面板","Buff Panel"
ACT_PARRY,"弧光弹反","Arc Parry"
TUT_S1_TITLE,"阶段 1/6：移动与瞄准","Stage 1/6: Move & Aim"
TUT_S2_TITLE,"阶段 2/6：加速与相位突进","Stage 2/6: Boost & Dash"
TUT_S3_TITLE,"阶段 3/6：战斗基础","Stage 3/6: Combat"
TUT_S4_TITLE,"阶段 4/6：母舰停靠","Stage 4/6: Docking"
TUT_S5_TITLE,"阶段 5/6：返航与基地","Stage 5/6: Homecoming"
TUT_S6_TITLE,"阶段 6/6：首领遭遇","Stage 6/6: Boss"
TUT_S1_OBJ,"WASD 移动，鼠标瞄准（自动开火）
准星套住青色标记框，子弹会追踪目标
击杀 3 个训练靶 (%d/3)","Move with WASD, aim with mouse (auto-fire)
Catch a cyan bracket frame with your crosshair to make bullets home in
Destroy 3 targets (%d/3)"
TUT_S2_OBJ,"按住 Shift 加速（耗燃料，松开恢复）：%d/2
空格相位突进（需 25%% 燃料）：%d/2","Hold Shift to boost (drains fuel): %d/2
Space to phase dash (needs 25%% fuel): %d/2"
TUT_S3_OBJ,"击落全部 5 架敌机 (%d/5)
本阶段受伤不会阵亡","Shoot down all 5 enemies (%d/5)
You cannot die in this stage"
TUT_S4_OBJ,"长按 H 蓄力召唤母舰","Hold H to summon the mothership"
TUT_S4_CHARGE,"召唤蓄力 %d%%…","Summoning %d%%…"
TUT_S4_DOCK,"飞入母舰下方对接区，完成一次完整对接补给
（弹匣随驻留消耗，≤4 格会触发弹药警告）","Fly into the dock zone below the mothership
(Magazine drains while docked; ≤4 cells warns)"
TUT_S5_OBJ,"长按 B 1.5 秒返航，打开基地控制台
（基地可用 RP 维修/充能、选择天赋路线、领取任务）","Hold B 1.5s to open the base
(Spend RP on repair/recharge, routes, missions)"
TUT_S5_CHARGE,"返航蓄力 %d%%…","Charging %d%%…"
TUT_S6_OBJ,"攻击首领，逼它进入狂暴状态（血量 30%）","Damage the boss until it enrages (30% HP)"
TUT_DONE,"教程完成！","Tutorial Complete!"
TUT_DONE_DESC,"你已掌握全部基础操作，祝武运昌隆！","You've mastered the basics. Good hunting!"
TUT_BACK,"返回主菜单","Main Menu"
TUT_FAIL_TITLE,"任务失败","Mission Failed"
TUT_FAIL_DESC,"战机已损毁，按 Esc 退出教程","Fighter destroyed — press Esc to exit"
UI_SCORE_TAG,"分数","SCORE"
UI_LIVES_TAG,"生命","HP"
UI_DIFF_TAG,"难度","DIFF"
UI_BUFFS_TAG,"增益","BUFFS"
UI_BUFFS_TITLE,"已获得增益","Active Buffs"
SET_VIEW_ZOOM,"视角","View"
SET_VIEW_SMALL,"小","Small"
SET_VIEW_MEDIUM,"中","Medium"
SET_VIEW_LARGE,"大","Large"
SET_WINDOW_SIZE,"窗口大小","Window Size"
SET_WINDOW_SMALL,"小 1280×720","Small 1280×720"
SET_WINDOW_MEDIUM,"中 1600×900","Medium 1600×900"
SET_WINDOW_LARGE,"大 1920×1080","Large 1920×1080"
SET_MOUSE_LOCK,"鼠标锁定窗口内","Lock Mouse in Window"
SET_MOUSE_LOCK_DESC,"鼠标保持在窗口内，防止移出导致准星失控（切换窗口时自动放行）","Keeps the cursor inside the window to prevent aim loss (released when switching windows)"
INTRO_SKIP,"按 Esc 跳过","Esc to Skip"
INTRO_WARNING,"警告","WARNING"
INTRO_SUB_1,"环带站「曙光」· 核心过载","Ring Station ""Dawn"" — Core Overload"
INTRO_SUB_2,"能量失控，正在逐层吞没舱室","Cascade Failure Consuming the Decks"
INTRO_SUB_3,"唯一的出路：弹射舱","One Way Out: The Launch Bay"
INTRO_SUB_4,"手动点火，倒计时开始","Manual Ignition. Countdown Running"
INTRO_SUB_5,"脱离轨道，全速推进","Rail Release. Full Thrust"
INTRO_SUB_6,"幸存者，向深空进发","Survivors, Into the Deep Void"
INTRO_ZONE_PROP,"推进","PROP"
INTRO_ZONE_NAV,"导航","NAV"
INTRO_ZONE_WPN,"武器","WPN"
INTRO_LOG_1,"> 核心温度 1180K","> CORE TEMP 1180K"
INTRO_LOG_2,"> 船体应力 83%","> HULL STRESS 83%"
INTRO_LOG_3,"> 轨道充能 100%","> RAIL POWER 100%"
INTRO_LOG_4,"> 弹射轨道就绪","> LAUNCH RAIL READY"
RETURN_SUB_1,"曲率引擎充能，航向：家","Warp Drive Charging. Course: Home"
RETURN_SUB_2,"跃迁端口，开启","Jump Portal Opening"
RETURN_SUB_3,"穿越星隙，归途一瞬","Through the Rift, Home in a Blink"
RETURN_SUB_4,"「曙光·残响」· 捕获对接","Echo of ""Dawn"" — Capture Lock"
RETURN_SUB_5,"引导降落，引擎熄火","Guided Descent. Engines Cut"
RETURN_SUB_6,"欢迎回家，驾驶员","Welcome Home, Pilot"
RETURN_SUB_7,"休眠程序启动，晚安","Sleep Cycle Engaged. Good Night"
ETV_TITLE,"精英炮塔事件","Elite Turret Event"
ETV_TURRETS,"剩余炮台：%d","Turrets Left: %d"
ETQ_1,"“炮台受损？不过是擦伤。继续压制！”","Turret damage? A scratch. Keep firing!"
ETQ_2,"“一座炮台沉默了就慌成这样？废物！”","One turret down and you panic? Worthless!"
ETQ_3,"“那是舰队最贵的火控核心——你在烧钱，虫子！”","That's the fleet's priciest fire-control core — you're burning money, insect!"
ETQ_4,"“损失过半……不可能，火控网络是完美的！”","Half the battery gone… Impossible. The fire-control grid is flawless!"
ETQ_5,"“把那架战机从天上抹掉！现在！”","Erase that fighter from my sky! Now!"
ETQ_6,"“甲板起火？关闭损管，把能量全压进炮塔！”","Deck fire? Kill damage control, shunt all power to the turrets!"
ETQ_7,"“只剩最后一座了……指挥官，请求撤退许可！”","Only one turret left… Commander, requesting permission to withdraw!"
ETQ_8,"“撤退？本舰从不撤退——等等，你在对谁说话？！”","Withdraw? This ship never retreats — wait, who are you talking to?!"
ETQ_9,"“全炮位失联……这不在任何作战手册里。”","All gun positions silent… this isn't in any manual."
ETQ_10,"“记住这张脸，小虫子。下次见面，是你的葬礼。”","Remember this face, little insect. Next time we meet, it's your funeral."
ETQ_RETREAT,"“时限已到，全舰撤退。算你走运，虫子。”","Time's up, all hands withdraw. Lucky this time, insect."
FBQ_WARN,"侦测到轰炸编队，正在接近","Bomber formation inbound"
SET_ACCESSIBILITY,"无障碍","Accessibility"
SET_REDUCE_FLASH,"减少闪光","Reduce flashes"
BOSS_ESCAPE_WARNING,"⚠ Boss 试图逃离战场 ⚠","⚠ Boss is trying to escape! ⚠"
BASE_MISSION_FMT,"%s：%s（%d/%d）","%s: %s (%d/%d)"
WELCOME_ACCOUNT,"账号","Account"
WELCOME_USERNAME,"用户名","Username"
WELCOME_PASSWORD,"密码","Password"
WELCOME_LOGIN,"登录","Login"
WELCOME_REGISTER,"注册","Register"
WELCOME_GUEST,"游客进入","Guest"
WELCOME_DELETE,"删除用户","Delete User"
WELCOME_MSG_BAD_CRED,"用户名或密码错误","Wrong username or password"
WELCOME_MSG_EMPTY_CRED,"请输入用户名和密码","Enter username and password"
WELCOME_MSG_NAME_LEN,"用户名需 3-16 个字符","Username must be 3-16 chars"
WELCOME_MSG_PASS_LEN,"密码需 3-16 个字符","Password must be 3-16 chars"
WELCOME_MSG_NAME_TAKEN,"用户名已存在或为保留名","Username taken or reserved"
WELCOME_MSG_REGISTER_OK,"注册成功，请登录","Registered. Please log in"
WELCOME_MSG_DELETE_EMPTY,"请输入要删除的用户名","Enter the username to delete"
WELCOME_MSG_DELETE_PASS,"请输入密码以确认删除","Enter password to confirm"
WELCOME_MSG_DELETED,"用户已删除","User deleted"
WELCOME_GUEST_CONFIRM_TITLE,"游客模式","Guest Mode"
WELCOME_GUEST_CONFIRM,"游客模式不保存进度、最高分与设置。确定继续吗？","Guest mode does not save progress, high scores or settings. Continue?"
WELCOME_CONFIRM_GO,"进入","Enter"
WELCOME_CONFIRM_BACK,"返回","Back"
WELCOME_DELETE_CONFIRM_TITLE,"删除用户","Delete User"
WELCOME_DELETE_CONFIRM,"将删除该用户及其存档，此操作不可恢复。确定？","This deletes the user and their saves. This cannot be undone. Confirm?"
WELCOME_CONFIRM_YES,"删除","Delete"
WELCOME_CONFIRM_CANCEL,"取消","Cancel"
WELCOME_EXIT_MSG,"确定退出游戏？","Quit the game?"
WELCOME_LEADERBOARD,"排行榜（本地）","Leaderboard (Local)"
WELCOME_TAB_HINT,"TAB 切换焦点","TAB to switch focus"
LEAD_TITLE,"本地排行榜","Local Leaderboard"
LEAD_EMPTY,"暂无成绩","No scores yet"
LEAD_FOOTER,"Top 10 · 本地","Top 10 · Local"
LEAD_CLOSE,"关闭","Close"
MS_UPGRADED,"火力升级 ★","Weapons UP ★"
BUFF_CRIT_SHOT_NAME,"暴击","Critical Hit"
BUFF_CRIT_SHOT_DESC,"攻击有 12% 概率造成双倍伤害","Attacks have a 12% chance to deal double damage"
BUFF_SHIELD_NAME,"护盾","Shield"
BUFF_SHIELD_DESC,"每层护盾吸收一次伤害","Each layer absorbs one hit"
BUFF_BULLET_SPEED_NAME,"弹速","Bullet Speed"
BUFF_BULLET_SPEED_DESC,"子弹飞行速度 +20%","Bullet speed +20%"
MISSION_KILL_15_NAME,"肃清行动","Purge"
MISSION_KILL_15_DESC,"击杀 15 个敌人","Kill 15 enemies"
MISSION_KILL_30_NAME,"铁雨犁地","Iron Rain"
MISSION_KILL_30_DESC,"击杀 30 个敌人","Kill 30 enemies"
MISSION_SURVIVE_60_NAME,"坚守六十秒","Hold the Line"
MISSION_SURVIVE_60_DESC,"存活 60 秒","Survive 60s"
MISSION_SURVIVE_300_NAME,"无声防线","Silent Line"
MISSION_SURVIVE_300_DESC,"存活 300 秒","Survive 300s"
MISSION_BOSS_2_NAME,"双王陨落","Twin Kings"
MISSION_BOSS_2_DESC,"击杀 2 个 Boss","Kill 2 Bosses"
MISSION_BOSS_3_NAME,"弑神者","Godslayer"
MISSION_BOSS_3_DESC,"击杀 3 个 Boss","Kill 3 Bosses"
BASE_REFRESH_POINTS,"刷新点数：%d","Refresh Pts: %d"
BASE_REFRESH_FMT,"刷新任务（%d 点）","Refresh (%d pts)"
BASE_NO_REFRESH_POINTS,"刷新点数不足！","Not enough refresh points!"
FOG_EVENT_FAKE_ENEMIES_NAME,"幽灵机群","Ghost Swarm"
FOG_EVENT_MENTAL_CONFUSION_NAME,"精神错乱","Confusion"
FOG_EVENT_BULLET_MALFUNCTION_NAME,"武器失灵","Weapon Glitch"
FOG_EVENT_DIRECTION_SHIFT_NAME,"信号干扰","Signal Drift"
